ID,Education,Age,DaysAsCustomer,Marital_Status,Kidhome,Teenhome,Country,Recency,Purchases,Spent_percent, Income ,CampaingsAccepted,Complain,Spent
1826,Graduation,53,3392,Divorced,0,0,Spain,0,15,0.08845748725729012,84835.0,0,0,1190
1,Graduation,62,3393,Single,0,0,Canada,0,18,0.04289073121634992,57091.0,1,0,577
10476,Graduation,65,3426,Married,0,1,USA,0,11,0.018657839749226742,67267.0,0,0,251
1386,Graduation,56,3428,Together,1,1,Australia,0,4,0.000817674251958144,32474.0,0,0,11
5371,Graduation,34,3461,Single,1,0,Spain,0,8,0.006764396084381009,21474.0,1,0,91
7348,PhD,65,3483,Single,0,0,Spain,0,17,0.0886061553031007,71691.0,0,0,1192
4073,2n Cycle,69,3530,Married,0,0,Germany,0,28,0.09031583782992227,63564.0,1,0,1215
1991,Graduation,56,3541,Together,0,1,Spain,0,7,0.007136066198907439,44931.0,0,0,96
4047,PhD,69,3548,Married,0,1,USA,0,20,0.04043770846047548,65324.0,0,0,544
9477,PhD,69,3548,Married,0,1,India,0,20,0.04043770846047548,65324.0,0,0,544
2079,2n Cycle,76,3563,Married,0,0,USA,0,22,0.08979549966958526,81044.0,0,0,1208
5642,Master,44,3581,Together,1,0,Spain,0,12,0.01650215308497345,62499.0,0,0,222
10530,PhD,64,3583,Widow,0,0,India,0,16,0.0859301304785104,67786.0,0,0,1156
2964,Graduation,42,3635,Married,0,0,Canada,0,5,0.005352049649180578,26872.0,0,0,72
10311,Graduation,54,3646,Married,0,1,Spain,0,25,0.02668591422299761,4428.0,0,0,359
837,Graduation,46,3670,Married,1,1,Spain,0,12,0.012934119985519733,54809.0,0,0,174
10521,Graduation,46,3670,Married,1,1,Spain,0,12,0.012934119985519733,54809.0,0,0,174
10175,PhD,65,3711,Divorced,0,1,Spain,0,5,0.001635348503916288,32173.0,0,0,22
1473,2n Cycle,63,3720,Single,0,1,Canada,0,7,0.005352049649180578,47823.0,0,0,72
2795,Master,65,3742,Single,2,1,Canada,0,4,0.0009663422977687155,30523.0,0,0,13
2285,Master,69,3776,Together,0,1,Saudi Arabia,0,15,0.02490189767327075,36634.0,0,0,335
115,Master,57,3839,Single,0,1,India,0,17,0.029213271001777327,43456.0,0,0,393
10470,Master,44,3850,Married,1,0,Germany,0,8,0.006838730107286295,40662.0,0,0,92
4065,PhD,47,3881,Married,1,0,Spain,0,16,0.030030945253735473,49544.0,0,0,404
10968,Graduation,54,3962,Single,0,1,India,0,26,0.05233115212532122,57731.0,0,0,704
5985,Master,58,4003,Single,0,1,Spain,0,10,0.00906875079444487,33168.0,0,0,122
5430,Graduation,67,4032,Together,1,1,Spain,0,31,0.05084447166721551,54450.0,0,0,684
8432,Graduation,67,4032,Together,1,1,Spain,0,31,0.05084447166721551,54450.0,0,0,684
453,PhD,67,3379,Widow,1,1,Spain,1,7,0.0033450310307378615,35340.0,0,0,45
9687,Graduation,48,3408,Single,0,0,Canada,1,16,0.05396650062923751,73170.0,0,0,726
8890,PhD,52,3409,Divorced,1,1,Spain,1,14,0.02021885423023774,65808.0,0,0,272
9264,Graduation,37,3442,Married,0,0,Canada,1,22,0.12175912951885817,79529.0,0,0,1638
5824,PhD,51,3458,Together,2,1,Australia,1,4,0.0005946721832422866,34578.0,0,0,8
5794,PhD,49,3483,Married,0,1,India,1,18,0.033152974215757476,46374.0,2,0,446
3068,Graduation,33,3622,Married,0,0,Spain,1,6,0.0031963629849272902,18351.0,0,0,43
7962,PhD,36,3642,Single,0,0,Spain,1,12,0.14130897754294833,95169.0,2,0,1901
2681,2n Cycle,39,3711,Married,0,0,Spain,1,19,0.03426798455933676,65370.0,0,0,461
10141,Master,63,3794,Divorced,0,0,Saudi Arabia,1,4,0.0014866804581057163,39228.0,0,0,20
3725,PhD,62,3795,Single,0,0,Spain,1,16,0.12547583066412246,84865.0,4,0,1688
3767,Graduation,55,3809,Married,0,1,Spain,1,24,0.0749286950885281,61314.0,0,0,1008
5585,Graduation,51,3814,Single,1,0,Canada,1,7,0.0035680330994537195,21359.0,0,0,48
7030,PhD,68,3835,Married,0,1,Spain,1,35,0.11038602401434944,66465.0,1,0,1485
1524,2n Cycle,40,3864,Single,0,0,Spain,1,16,0.08206476128743555,81698.0,1,0,1104
3657,Graduation,37,3879,Single,1,0,Spain,1,11,0.01226511377937216,39146.0,0,0,165
5740,2n Cycle,53,3879,Divorced,1,1,Spain,1,7,0.0041627052826960055,25959.0,0,0,56
9595,Graduation,62,3913,Together,0,0,Spain,1,14,0.11700175205291988,64260.0,0,0,1574
